Gameday;Date;HomeTeam;AwayTeam
1.;02.08.2024;FC Koln;Hamburg
1.;03.08.2024;Magdeburg;Elversberg
1.;03.08.2024;Hannover;Regensburg
1.;03.08.2024;Hertha;Paderborn
1.;03.08.2024;Karlsruhe;Nurnberg
1.;03.08.2024;Schalke 04;Braunschweig
1.;04.08.2024;Greuther Furth;Preußen Münster
1.;04.08.2024;Ulm;Kaiserslautern
1.;04.08.2024;Darmstadt;Fortuna Dusseldorf
2.;09.08.2024;Kaiserslautern;Greuther Furth
2.;09.08.2024;Regensburg;Ulm
2.;10.08.2024;Nurnberg;Schalke 04 
2.;10.08.2024;Fortuna Dusseldorf;Karlsruhe
2.;10.08.2024;Elversberg;FC Koln
2.;10.08.2024;Hamburg;Hertha
2.;11.08.2024;Braunschweig;Magdeburg
2.;11.08.2024;Preußen Münster;Hannover
2.;11.08.2024;Paderborn;Darmstadt
3.;23.08.2024;Hannover;Hamburg
3.;23.08.2024;Karlsruhe;Elversberg
3.;24.08.2024;Hertha;Regensburg
3.;24.08.2024;Preußen Münster;Kaiserslautern
3.;24.08.2024;Greuther Furth;Paderborn
3.;24.08.2024;FC Koln;Braunschweig
3.;25.08.2024;Magdeburg;Schalke 04 
3.;25.08.2024;Ulm;Fortuna Dusseldorf
3.;25.08.2024;Darmstadt;Nurnberg
4.;30.08.2024;Fortuna Dusseldorf;Hannover
4.;30.08.2024;Regensburg;Greuther Furth
4.;31.08.2024;Nurnberg;Magdeburg
4.;31.08.2024;Hamburg;Preußen Münster
4.;31.08.2024;Elversberg;Darmstadt
4.;31.08.2024;Kaiserslautern;Hertha
4.;01.09.2024;Braunschweig;Karlsruhe
4.;01.09.2024;Schalke 04;FC Koln
4.;01.09.2024;Paderborn;Ulm
5.;13.09.2024;Karlsruhe;Schalke 04 
5.;13.09.2024;Preußen Münster;Paderborn
5.;14.09.2024;Hannover;Kaiserslautern
5.;14.09.2024;Ulm;Nurnberg
5.;14.09.2024;Darmstadt;Braunschweig
5.;14.09.2024;FC Koln;Magdeburg
5.;15.09.2024;Hamburg;Regensburg
5.;15.09.2024;Hertha;Fortuna Dusseldorf
5.;15.09.2024;Greuther Furth;Elversberg
6.;20.09.2024;Schalke 04;Darmstadt
6.;20.09.2024;Paderborn;Hannover
6.;21.09.2024;Nurnberg;Hertha
6.;21.09.2024;Braunschweig;Greuther Furth
6.;21.09.2024;Fortuna Dusseldorf;FC Koln
6.;21.09.2024;Kaiserslautern;Hamburg
6.;22.09.2024;Magdeburg;Karlsruhe
6.;22.09.2024;Regensburg;Preußen Münster
6.;22.09.2024;Elversberg;Ulm
7.;27.09.2024;Greuther Furth;Fortuna Dusseldorf
7.;27.09.2024;Ulm;Braunschweig
7.;28.09.2024;Hamburg;Paderborn
7.;28.09.2024;Regensburg;Kaiserslautern
7.;28.09.2024;Darmstadt;Magdeburg
7.;28.09.2024;Preußen Münster;Schalke 04 
7.;29.09.2024;FC Koln;Karlsruhe
7.;29.09.2024;Hannover;Nurnberg
7.;29.09.2024;Hertha;Elversberg
8.;04.10.2024;Karlsruhe;Darmstadt
8.;04.10.2024;Paderborn;Regensburg
8.;05.10.2024;FC Koln;Ulm
8.;05.10.2024;Nurnberg;Preußen Münster
8.;05.10.2024;Elversberg;Kaiserslautern
8.;05.10.2024;Schalke 04;Hertha
8.;06.10.2024;Magdeburg;Greuther Furth
8.;06.10.2024;Braunschweig;Hannover
8.;06.10.2024;Fortuna Dusseldorf;Hamburg
9.;18.10.2024;Hertha;Braunschweig
9.;18.10.2024;Darmstadt;FC Koln
9.;19.10.2024;Hannover;Schalke 04 
9.;19.10.2024;Preußen Münster;Elversberg
9.;19.10.2024;Regensburg;Fortuna Dusseldorf
9.;19.10.2024;Kaiserslautern;Paderborn
9.;20.10.2024;Hamburg;Magdeburg
9.;20.10.2024;Greuther Furth;Nurnberg
9.;20.10.2024;Ulm;Karlsruhe
10.;25.10.2024;FC Koln;Paderborn
10.;25.10.2024;Nurnberg;Regensburg
10.;26.10.2024;Schalke 04;Greuther Furth
10.;26.10.2024;Karlsruhe;Hertha
10.;26.10.2024;Elversberg;Hamburg
10.;26.10.2024;Fortuna Dusseldorf;Kaiserslautern
10.;27.10.2024;Magdeburg;Hannover
10.;27.10.2024;Braunschweig;Preußen Münster
10.;27.10.2024;Darmstadt;Ulm
11.;01.11.2024;Preußen Münster;Fortuna Dusseldorf
11.;01.11.2024;Ulm;Schalke 04 
11.;02.11.2024;Hannover;Karlsruhe
11.;02.11.2024;Greuther Furth;Darmstadt
11.;02.11.2024;Regensburg;Elversberg
