Index;Season;Date;HomeTeam;AwayTeam;HomeTeamGoals;AwayTeamGoals;Result;HomeTeamShots;AwayTeamShots;HomeTeamShotsOnTarget;AwayTeamShotsOnTarget;HomeTeamCorners;AwayTeamCorners;HomeTeamYellow;AwayTeamYellow;HomeTeamRed;AwayTeamRed;HomeTeamFouls;AwayTeamFouls;Gameday
1;2017;04/08/17;Kaiserslautern;Darmstadt;1;1;D;7;10;2;5;3;3;3;1;0;0;18;11;1
2;2017;28/07/17;Bochum;St Pauli;0;1;A;17;16;5;7;8;2;1;1;0;0;12;10;1
3;2017;29/07/17;Bielefeld;Regensburg;2;1;H;19;14;5;3;7;4;3;3;1;0;13;12;1
4;2017;29/07/17;Darmstadt;Greuther Furth;1;0;H;10;10;5;1;2;5;1;4;0;0;13;21;1
5;2017;29/07/17;Ingolstadt;Union Berlin;0;1;A;13;13;4;3;3;3;0;3;0;0;13;17;1
6;2017;30/07/17;Dresden;Duisburg;1;0;H;18;15;8;3;7;3;1;4;0;1;10;17;1
7;2017;30/07/17;Holstein Kiel;Sandhausen;2;2;D;20;8;3;4;12;2;2;3;0;0;18;20;1
8;2017;30/07/17;Nurnberg;Kaiserslautern;3;0;H;12;14;3;3;5;3;0;3;0;0;11;14;1
9;2017;31/07/17;Fortuna Dusseldorf;Braunschweig;2;2;D;14;13;4;10;5;5;2;4;0;1;19;17;1
10;2017;04/08/17;Sandhausen;Ingolstadt;1;0;H;9;11;3;4;3;4;2;2;0;0;17;15;2
11;2017;04/08/17;Union Berlin;Holstein Kiel;4;3;H;15;11;8;6;3;0;2;2;0;0;16;15;2
12;2017;05/08/17;Braunschweig;Heidenheim;2;0;H;8;12;2;3;2;6;0;2;0;0;11;19;2
13;2017;05/08/17;Duisburg;Bochum;1;1;D;12;17;5;3;2;7;2;2;0;0;12;13;2
14;2017;06/08/17;Erzgebirge Aue;Fortuna Dusseldorf;0;2;A;19;5;4;2;9;2;5;2;0;0;17;18;2
15;2017;06/08/17;Greuther Furth;Bielefeld;1;2;A;18;8;7;4;6;4;0;1;0;0;17;12;2
16;2017;06/08/17;Regensburg;Nurnberg;0;1;A;9;16;1;4;4;7;2;2;0;0;12;16;2
17;2017;07/08/17;St Pauli;Dresden;2;2;D;12;11;5;4;5;3;1;3;0;0;10;15;2
18;2017;09/08/17;Heidenheim;Erzgebirge Aue;2;1;H;9;14;2;5;1;4;2;3;0;1;20;17;2
19;2017;18/08/17;Darmstadt;St Pauli;3;0;H;17;13;8;6;6;9;2;1;0;0;11;13;3
20;2017;18/08/17;Braunschweig;Erzgebirge Aue;1;1;D;10;12;6;7;3;4;2;4;0;0;15;14;3
21;2017;19/08/17;Dresden;Sandhausen;0;4;A;10;12;1;6;4;3;3;0;0;0;15;24;3
22;2017;19/08/17;Fortuna Dusseldorf;Kaiserslautern;2;0;H;20;10;8;1;10;4;3;3;0;0;10;18;3
23;2017;19/08/17;Heidenheim;Duisburg;1;2;A;16;18;7;6;2;6;2;3;0;0;11;16;3
24;2017;20/08/17;Holstein Kiel;Greuther Furth;3;1;H;18;13;8;5;4;3;3;2;0;0;15;14;3
25;2017;20/08/17;Nurnberg;Union Berlin;2;2;D;18;11;6;4;6;5;1;1;0;1;17;19;3
26;2017;20/08/17;Ingolstadt;Regensburg;2;4;A;19;19;8;11;6;5;3;2;0;0;16;20;3
27;2017;21/08/17;Bielefeld;Bochum;2;0;H;12;23;6;5;2;8;2;1;0;0;19;4;3
28;2017;25/08/17;Greuther Furth;Ingolstadt;0;1;A;13;7;2;2;4;6;3;1;1;0;12;12;4
29;2017;25/08/17;Duisburg;Darmstadt;1;2;A;12;9;4;6;4;2;2;1;0;0;17;13;4
30;2017;26/08/17;St Pauli;Heidenheim;1;0;H;13;10;4;1;11;3;0;3;0;0;10;14;4
31;2017;26/08/17;Regensburg;Holstein Kiel;1;2;A;14;18;2;7;2;5;4;3;0;0;18;22;4
32;2017;26/08/17;Erzgebirge Aue;Nurnberg;3;1;H;17;11;10;6;7;4;3;2;0;0;12;15;4
33;2017;27/08/17;Bochum;Dresden;3;2;H;10;15;5;5;3;8;3;4;0;0;14;15;4
34;2017;27/08/17;Sandhausen;Fortuna Dusseldorf;1;2;A;12;10;3;5;2;2;3;4;0;0;23;24;4
35;2017;27/08/17;Union Berlin;Bielefeld;1;1;D;22;13;8;2;6;4;1;3;0;0;12;18;4
36;2017;28/08/17;Kaiserslautern;Braunschweig;1;1;D;15;12;4;4;6;7;3;4;0;0;20;23;4
37;2017;08/09/17;Heidenheim;Regensburg;1;3;A;11;20;5;5;1;8;2;1;0;0;13;15;5
38;2017;08/09/17;Dresden;Greuther Furth;1;1;D;14;14;4;6;4;2;1;3;0;0;12;17;5
39;2017;09/09/17;Bielefeld;Duisburg;0;4;A;13;14;3;9;2;2;1;3;0;0;10;10;5
40;2017;09/09/17;Holstein Kiel;Kaiserslautern;2;1;H;10;13;5;3;7;2;3;2;0;0;14;12;5
41;2017;09/09/17;Ingolstadt;Erzgebirge Aue;1;2;A;31;7;3;4;15;2;2;3;0;0;14;22;5
42;2017;10/09/17;Braunschweig;Sandhausen;1;1;D;18;7;6;4;7;7;2;1;0;0;17;22;5
43;2017;10/09/17;Darmstadt;Bochum;1;2;A;14;9;5;4;3;6;1;1;0;0;16;15;5
44;2017;10/09/17;Fortuna Dusseldorf;Union Berlin;3;2;H;17;6;6;4;7;7;2;3;0;0;16;22;5
45;2017;11/09/17;Nurnberg;St Pauli;0;1;A;13;8;3;2;6;3;2;2;0;0;10;6;5
46;2017;15/09/17;Erzgebirge Aue;Holstein Kiel;0;3;A;13;12;3;6;4;4;3;2;0;0;10;24;6
47;2017;15/09/17;Union Berlin;Braunschweig;1;1;D;22;15;6;4;5;3;2;2;0;0;11;9;6
48;2017;16/09/17;Duisburg;Nurnberg;1;6;A;21;15;10;9;9;5;3;0;0;0;11;10;6
49;2017;16/09/17;St Pauli;Ingolstadt;0;4;A;6;19;3;7;5;4;0;5;0;0;12;21;6
50;2017;16/09/17;Sandhausen;Kaiserslautern;1;0;H;14;9;5;2;2;5;2;2;0;0;17;20;6
51;2017;17/09/17;Bochum;Heidenheim;1;2;A;17;16;4;4;5;8;2;2;0;0;11;17;6
52;2017;17/09/17;Regensburg;Dresden;0;2;A;9;12;1;5;9;1;2;2;0;0;16;19;6
53;2017;17/09/17;Greuther Furth;Fortuna Dusseldorf;3;1;H;24;7;9;3;10;3;3;2;0;0;16;18;6
54;2017;17/09/17;Darmstadt;Bielefeld;4;3;H;12;16;4;4;4;4;1;2;0;0;13;10;6
55;2017;19/09/17;Ingolstadt;Duisburg;2;2;D;18;11;6;5;10;3;1;1;0;0;11;10;7
56;2017;19/09/17;Holstein Kiel;St Pauli;0;1;A;14;7;4;4;6;1;4;4;1;0;12;10;7
57;2017;19/09/17;Kaiserslautern;Erzgebirge Aue;0;2;A;15;16;3;7;4;2;1;2;0;0;14;14;7
58;2017;19/09/17;Sandhausen;Union Berlin;1;0;H;8;8;3;2;4;5;1;2;0;0;11;16;7
59;2017;20/09/17;Fortuna Dusseldorf;Regensburg;1;0;H;13;16;5;4;3;4;3;2;0;0;19;17;7
60;2017;20/09/17;Heidenheim;Darmstadt;2;2;D;12;11;4;4;3;6;2;5;0;0;17;17;7
61;2017;20/09/17;Braunschweig;Greuther Furth;3;0;H;10;18;6;7;5;1;1;1;0;0;17;15;7
62;2017;20/09/17;Dresden;Bielefeld;0;2;A;12;12;7;3;4;3;0;1;0;0;7;19;7
63;2017;21/09/17;Nurnberg;Bochum;3;1;H;13;10;5;5;4;4;0;2;0;0;13;11;7
64;2017;22/09/17;Erzgebirge Aue;Sandhausen;1;0;H;8;13;2;5;3;2;1;2;0;0;12;19;8
65;2017;22/09/17;Duisburg;Holstein Kiel;1;3;A;18;17;8;5;6;5;3;3;0;0;15;21;8
66;2017;23/09/17;Bielefeld;Heidenheim;1;1;D;20;9;3;2;8;4;1;1;0;0;15;14;8
67;2017;23/09/17;St Pauli;Fortuna Dusseldorf;1;2;A;15;9;6;3;6;3;1;0;0;0;16;12;8
68;2017;23/09/17;Regensburg;Braunschweig;2;1;H;30;8;6;4;11;4;4;4;0;3;18;16;8
69;2017;24/09/17;Bochum;Ingolstadt;2;0;H;16;15;6;3;5;4;2;4;0;0;17;25;8
70;2017;24/09/17;Darmstadt;Dresden;3;3;D;18;6;6;4;10;6;3;4;0;0;17;17;8
71;2017;24/09/17;Greuther Furth;Nurnberg;1;3;A;20;14;7;7;10;4;2;2;0;0;14;15;8
72;2017;25/09/17;Union Berlin;Kaiserslautern;5;0;H;22;10;11;2;5;6;2;4;0;0;15;22;8
73;2017;01/10/17;Sandhausen;Regensburg;2;0;H;9;19;2;2;1;4;4;4;0;1;19;18;9
74;2017;01/10/17;Heidenheim;Dresden;0;2;A;12;11;2;3;5;5;4;2;0;0;16;27;9
75;2017;01/10/17;Braunschweig;St Pauli;0;2;A;24;18;9;6;11;2;0;0;0;0;10;10;9
76;2017;02/10/17;Fortuna Dusseldorf;Duisburg;3;1;H;15;27;7;7;2;9;4;2;0;0;17;13;9
77;2017;29/09/17;Ingolstadt;Darmstadt;3;0;H;21;5;5;2;7;5;2;3;0;0;18;15;9
78;2017;29/09/17;Kaiserslautern;Greuther Furth;3;0;H;13;6;4;2;1;5;0;3;0;0;12;20;9
79;2017;30/09/17;Holstein Kiel;Bochum;3;0;H;25;4;8;0;9;1;0;4;0;1;16;11;9
80;2017;30/09/17;Erzgebirge Aue;Union Berlin;1;2;A;15;7;4;2;6;4;0;1;0;0;6;17;9
81;2017;30/09/17;Nurnberg;Bielefeld;1;2;A;17;12;4;5;6;2;1;1;0;0;6;9;9
82;2017;13/10/17;Duisburg;Braunschweig;0;0;D;11;11;4;3;3;3;2;1;0;0;9;14;10
83;2017;13/10/17;St Pauli;Kaiserslautern;1;1;D;5;7;2;1;4;3;0;1;0;0;9;24;10
84;2017;14/10/17;Bielefeld;Fortuna Dusseldorf;0;2;A;14;19;3;11;5;4;1;0;0;0;17;9;10
85;2017;14/10/17;Dresden;Ingolstadt;2;2;D;12;14;4;3;6;4;1;4;0;0;17;16;10
86;2017;14/10/17;Bochum;Sandhausen;2;0;H;8;7;3;1;4;6;2;3;0;0;11;15;10
87;2017;15/10/17;Greuther Furth;Erzgebirge Aue;2;1;H;17;8;4;5;3;2;3;4;0;0;23;15;10
88;2017;15/10/17;Regensburg;Union Berlin;0;2;A;19;14;5;6;12;3;3;2;0;0;15;12;10
89;2017;15/10/17;Heidenheim;Holstein Kiel;3;5;A;10;28;4;14;4;10;3;3;1;0;13;9;10
90;2017;16/10/17;Darmstadt;Nurnberg;3;4;A;14;14;3;5;4;3;1;1;0;0;11;15;10
91;2017;20/10/17;Ingolstadt;Heidenheim;3;0;H;15;3;8;1;7;2;0;1;0;0;14;19;11
92;2017;20/10/17;Fortuna Dusseldorf;Darmstadt;1;0;H;15;11;4;1;7;3;3;4;0;0;10;17;11
93;2017;21/10/17;Union Berlin;Greuther Furth;3;1;H;17;12;11;1;4;4;0;1;0;0;13;15;11
94;2017;21/10/17;Holstein Kiel;Bielefeld;2;1;H;10;11;4;3;4;6;4;3;0;0;13;15;11
95;2017;21/10/17;Braunschweig;Bochum;1;0;H;7;16;2;5;2;7;0;3;0;0;16;15;11
96;2017;22/10/17;Erzgebirge Aue;Regensburg;1;0;H;5;15;4;5;3;9;3;3;1;0;14;20;11
97;2017;22/10/17;Kaiserslautern;Duisburg;0;1;A;11;11;3;5;5;6;3;4;0;0;16;17;11
98;2017;22/10/17;Nurnberg;Dresden;2;1;H;11;22;5;2;4;9;2;3;0;1;11;10;11
99;2017;23/10/17;Sandhausen;St Pauli;1;1;D;18;15;3;3;5;4;1;2;0;0;15;11;11
100;2017;27/10/17;Bielefeld;Ingolstadt;1;3;A;16;12;2;8;10;5;3;4;1;1;12;6;12
101;2017;27/10/17;St Pauli;Erzgebirge Aue;1;1;D;12;12;6;4;7;7;1;3;0;0;12;17;12
102;2017;28/10/17;Darmstadt;Holstein Kiel;1;1;D;11;15;5;7;4;4;1;3;0;0;15;13;12
103;2017;28/10/17;Regensburg;Kaiserslautern;3;1;H;23;5;8;3;7;2;2;0;0;0;17;15;12
104;2017;28/10/17;Greuther Furth;Sandhausen;2;1;H;13;12;5;3;4;2;2;2;0;0;16;16;12
105;2017;29/10/17;Dresden;Braunschweig;1;1;D;12;12;4;7;1;3;1;4;0;0;9;14;12
106;2017;29/10/17;Heidenheim;Nurnberg;1;0;H;15;14;5;5;7;4;4;2;0;0;12;13;12
107;2017;29/10/17;Duisburg;Union Berlin;1;1;D;10;11;3;3;2;2;2;2;0;0;10;20;12
108;2017;30/10/17;Bochum;Fortuna Dusseldorf;0;0;D;9;15;5;3;3;6;2;2;1;0;22;11;12
109;2017;03/11/17;Sandhausen;Duisburg;0;1;A;22;5;7;1;5;2;2;2;0;0;15;16;13
110;2017;03/11/17;Kaiserslautern;Bochum;0;0;D;12;3;2;1;7;1;3;3;0;0;11;16;13
111;2017;04/11/17;Regensburg;Greuther Furth;3;2;H;20;7;5;3;8;6;1;1;0;0;10;17;13
112;2017;04/11/17;Braunschweig;Darmstadt;2;2;D;16;7;5;3;8;3;2;2;0;0;13;13;13
113;2017;04/11/17;Union Berlin;St Pauli;1;0;H;16;11;3;2;4;5;1;1;0;0;14;13;13
114;2017;05/11/17;Erzgebirge Aue;Bielefeld;1;1;D;10;19;6;7;2;10;2;4;0;0;10;15;13
115;2017;05/11/17;Fortuna Dusseldorf;Heidenheim;2;2;D;13;13;4;4;3;4;6;4;1;0;15;19;13
116;2017;05/11/17;Holstein Kiel;Dresden;3;0;H;19;10;9;6;5;3;1;1;0;0;14;13;13
117;2017;06/11/17;Nurnberg;Ingolstadt;1;2;A;10;16;4;6;2;3;0;0;0;0;9;13;13
118;2017;17/11/17;Darmstadt;Sandhausen;1;2;A;5;5;1;3;5;3;6;2;0;0;20;14;14
119;2017;17/11/17;Bielefeld;Braunschweig;2;2;D;20;11;6;5;10;8;2;2;0;0;22;17;14
120;2017;18/11/17;Bochum;Greuther Furth;1;1;D;8;12;3;3;5;3;1;4;0;0;14;24;14
121;2017;18/11/17;Heidenheim;Union Berlin;4;3;H;20;14;11;9;8;3;2;2;0;0;15;11;14
122;2017;18/11/17;Nurnberg;Holstein Kiel;2;2;D;18;10;6;4;4;6;1;2;0;0;12;17;14
123;2017;19/11/17;Duisburg;Erzgebirge Aue;3;0;H;18;8;9;2;5;4;1;3;0;0;15;14;14
124;2017;19/11/17;Ingolstadt;Fortuna Dusseldorf;1;0;H;16;10;5;3;5;7;5;3;0;0;21;13;14
