features,n_features,score,removed_feature,phase
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.4712239520958084,Avg_Home_Shots,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.4708319361277445,Avg_Away_Red,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",20,0.46922554890219564,Avg_Total_ShotsOnTarget,additional
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.4688239520958083,Avg_Away_ShotsOnTarget,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.4664295409181637,Avg_Away_Goals,base
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.4660295409181637,Avg_Away_Red,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.4648311377245509,Avg_Home_Red,base
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.46443113772455086,Avg_Away_Goals,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.46442794411177646,Avg_Away_TotalWins,base
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.4640231536926148,Avg_Home_Yellow,base
